,Average Rating,Average Difficulty,Number of ratings,Received a pepper,Proportion of students that said they would take the class again,Number of ratings coming from online classes,Male Professor,Female Professor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
973,4.4,3.6,14.0,1.0,75.0,0.0,1,0,0.14285714285714285,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.0,0.0,0.6428571428571429,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
974,3.0,3.5,68.0,0.0,54.0,2.0,1,0,0.16176470588235295,0.058823529411764705,0.058823529411764705,0.1323529411764706,0.23529411764705882,0.39705882352941174,0.07352941176470588,0.0,0.0,0.10294117647058823,0.0,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.0,0.058823529411764705,0.5588235294117647,0.14705882352941177,0.3235294117647059
977,4.3,3.3,12.0,0.0,75.0,0.0,1,0,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333
998,5.0,2.5,53.0,1.0,100.0,9.0,0,1,0.0,0.6415094339622641,0.33962264150943394,0.018867924528301886,0.1509433962264151,0.0,0.018867924528301886,0.3018867924528302,0.0,0.16981132075471697,0.0,0.32075471698113206,0.16981132075471697,0.0,0.0,0.18867924528301888,0.16981132075471697,0.0,0.018867924528301886,0.0
1004,3.9,2.5,10.0,0.0,100.0,0.0,0,1,0.0,0.0,0.3,0.1,0.5,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.4,0.2,0.0,0.2
1007,4.5,2.9,19.0,1.0,88.0,0.0,1,0,0.10526315789473684,0.42105263157894735,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.3684210526315789,0.0,0.0,0.2631578947368421,0.15789473684210525,0.0,0.0,0.0
1008,4.4,2.3,10.0,1.0,100.0,0.0,0,1,0.0,0.5,0.1,0.1,0.3,0.0,0.0,0.3,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0
1022,3.0,2.9,17.0,0.0,33.0,5.0,1,0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.35294117647058826,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.0
1042,4.8,2.0,24.0,0.0,100.0,0.0,1,0,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.0,0.041666666666666664,0.08333333333333333,0.0,0.125,0.0,0.0,0.0,0.08333333333333333,0.625,0.0,0.08333333333333333,0.5416666666666666,0.2916666666666667,0.16666666666666666,0.0,0.041666666666666664
1049,3.1,3.3,15.0,0.0,44.0,0.0,1,0,0.2,0.13333333333333333,0.06666666666666667,0.6,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.26666666666666666
1060,3.8,3.4,20.0,1.0,70.0,0.0,1,0,0.35,0.3,0.1,0.1,0.05,0.1,0.05,0.0,0.0,0.35,0.0,0.15,0.1,0.15,0.0,0.05,0.15,0.2,0.1,0.05
1122,4.8,3.0,10.0,1.0,100.0,7.0,0,1,0.0,0.8,0.0,0.2,0.3,0.0,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.1,0.3,0.0
1145,5.0,1.7,13.0,1.0,100.0,0.0,0,1,0.0,0.07692307692307693,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.5384615384615384,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693
1163,4.8,1.9,10.0,1.0,100.0,0.0,1,0,0.0,0.1,0.1,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.1,0.1,0.3,0.0,0.0
1174,5.0,1.5,17.0,1.0,100.0,0.0,1,0,0.0,0.35294117647058826,0.4117647058823529,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.058823529411764705
1205,3.3,2.8,15.0,0.0,71.0,0.0,0,1,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.2,0.4666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.2,0.0,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0
1229,3.7,3.2,16.0,0.0,60.0,1.0,1,0,0.125,0.375,0.0,0.0625,0.3125,0.1875,0.25,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0,0.0625,0.0625,0.0,0.1875,0.0,0.125
1248,4.2,2.7,29.0,1.0,67.0,0.0,0,1,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.27586206896551724,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.13793103448275862,0.4827586206896552,0.06896551724137931,0.20689655172413793
1258,4.5,1.6,11.0,0.0,100.0,0.0,0,1,0.0,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.0
1274,4.8,1.7,21.0,1.0,100.0,1.0,1,0,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.0,0.3333333333333333,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.0,0.2857142857142857,0.0,0.0,0.6190476190476191,0.14285714285714285,0.0,0.0,0.047619047619047616
1290,4.3,3.1,14.0,0.0,100.0,0.0,1,0,0.07142857142857142,0.5,0.0,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.14285714285714285,0.5,0.0,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.0,0.0,0.0
